商品ID,商品名称,品类
3113,商品2355,品类407
3114,商品2356,品类1
3115,商品2357,品类12
3117,商品2358,品类116
3120,商品2359,品类5
3125,商品2360,品类12
3127,商品2361,品类36
3129,商品2362,品类36
3130,商品2363,品类62
3132,商品2364,品类36
3134,商品2365,品类24
3135,商品2366,品类12
3138,商品2367,品类12
3141,商品2368,品类12
3142,商品2369,品类230
3143,商品2370,品类24
3145,商品2371,品类12
3146,商品2372,品类5
3147,商品2373,品类14
3148,商品2374,品类12
3150,商品2375,品类32
3152,商品2376,品类12
3153,商品2377,品类26
3155,商品2378,品类15
3156,商品2379,品类408
3157,商品2380,品类83
3158,商品2381,品类12
3159,商品2382,品类409
3160,商品2383,品类12
3161,商品2384,品类15
3162,商品2385,品类36
3163,商品2386,品类308
3165,商品2387,品类133
3167,商品2388,品类36
3168,商品2389,品类31
3169,商品2390,品类47
3171,商品2391,品类12
3173,商品2392,品类12
3174,商品2393,品类36
3175,商品2394,品类167
3176,商品2395,品类104
3177,商品2396,品类5
3178,商品2397,品类12
3179,商品2398,品类12
3181,商品2399,品类12
3182,商品2400,品类37
3183,商品2401,品类12
3185,商品2402,品类12
3186,商品2403,品类12
3189,商品2404,品类20
3190,商品2405,品类392
3192,商品2406,品类12
3194,商品2407,品类15
3196,商品2408,品类24
3197,商品2409,品类246
3198,商品2410,品类14
3200,商品2411,品类36
3201,商品2412,品类12
3203,商品2413,品类51
3204,商品2414,品类142
3206,商品2415,品类161
3208,商品2416,品类107
3210,商品2417,品类4
3211,商品2418,品类12
3213,商品2419,品类94
3214,商品2420,品类12
3217,商品2421,品类12
3219,商品2422,品类28
3221,商品2423,品类12
3223,商品2424,品类12
3224,商品2425,品类12
3225,商品2426,品类3
3230,商品2427,品类51
3235,商品2428,品类5
3238,商品2429,品类51
3240,商品2430,品类5
3241,商品2431,品类5
3243,商品2432,品类5
3244,商品2433,品类3
3246,商品2434,品类12
3247,商品2435,品类33
3248,商品2436,品类5
3249,商品2437,品类32
3250,商品2438,品类12
3251,商品2439,品类49
3252,商品2440,品类12
3253,商品2441,品类5
3254,商品2442,品类5
3255,商品2443,品类36
3256,商品2444,品类38
3257,商品2445,品类223
3258,商品2446,品类71
3259,商品2447,品类238
3260,商品2448,品类12
3261,商品2449,品类4
3262,商品2450,品类159
3263,商品2451,品类36
3264,商品2452,品类410
3265,商品2453,品类38
3266,商品2454,品类91
3267,商品2455,品类411
3268,商品2456,品类107
3269,商品2457,品类408
3270,商品2458,品类4
3271,商品2459,品类12
3272,商品2460,品类14
3273,商品2461,品类270
3274,商品2462,品类32
3275,商品2463,品类38
3276,商品2464,品类5
3280,商品2465,品类67
3281,商品2466,品类37
3283,商品2467,品类8
3284,商品2468,品类134
3285,商品2469,品类31
3286,商品2470,品类5
3287,商品2471,品类94
3289,商品2472,品类12
3294,商品2473,品类67
3295,商品2474,品类12
3296,商品2475,品类12
3298,商品2476,品类47
3299,商品2477,品类36
3300,商品2478,品类120
3301,商品2479,品类33
3302,商品2480,品类5
3303,商品2481,品类37
3306,商品2482,品类5
3307,商品2483,品类4
3308,商品2484,品类36
3310,商品2485,品类36
3313,商品2486,品类5
3315,商品2487,品类195
3316,商品2488,品类41
3317,商品2489,品类36
3323,商品2490,品类33
3324,商品2491,品类5
3325,商品2492,品类36
3326,商品2493,品类84
3327,商品2494,品类37
3328,商品2495,品类14
3329,商品2496,品类15
3330,商品2497,品类15
3331,商品2498,品类12
3334,商品2499,品类244
3338,商品2500,品类37
3341,商品2501,品类5
3342,商品2502,品类24
3344,商品2503,品类67
3345,商品2504,品类7
3347,商品2505,品类31
3350,商品2506,品类12
3353,商品2507,品类3
3354,商品2508,品类349
3355,商品2509,品类412
3357,商品2510,品类15
3358,商品2511,品类272
3359,商品2512,品类36
3360,商品2513,品类15
3361,商品2514,品类4
3362,商品2515,品类14
3363,商品2516,品类36
3364,商品2517,品类208
3365,商品2518,品类123
3368,商品2519,品类413
3370,商品2520,品类32
3372,商品2521,品类367
3374,商品2522,品类12
3378,商品2523,品类12
3379,商品2524,品类12
3384,商品2525,品类89
3385,商品2526,品类5
3386,商品2527,品类104
3387,商品2528,品类129
3388,商品2529,品类23
3389,商品2530,品类170
3390,商品2531,品类414
3391,商品2532,品类5
3392,商品2533,品类5
3393,商品2534,品类254
3394,商品2535,品类3
3395,商品2536,品类5
3396,商品2537,品类45
3397,商品2538,品类23
3398,商品2539,品类327
3400,商品2540,品类314
3401,商品2541,品类264
3402,商品2542,品类4
3403,商品2543,品类32
3404,商品2544,品类133
3405,商品2545,品类133
3406,商品2546,品类252
3408,商品2547,品类12
3409,商品2548,品类32
3410,商品2549,品类36
3412,商品2550,品类64
3414,商品2551,品类116
3415,商品2552,品类12
3417,商品2553,品类79
3418,商品2554,品类415
3420,商品2555,品类32
3421,商品2556,品类5
3422,商品2557,品类3
3423,商品2558,品类12
3424,商品2559,品类12
3425,商品2560,品类82
3426,商品2561,品类15
3428,商品2562,品类12
3429,商品2563,品类416
3430,商品2564,品类25
3431,商品2565,品类133
3432,商品2566,品类133
3433,商品2567,品类133
3434,商品2568,品类133
3435,商品2569,品类229
3436,商品2570,品类15
3438,商品2571,品类417
3439,商品2572,品类418
3440,商品2573,品类310
3441,商品2574,品类46
3442,商品2575,品类25
3444,商品2576,品类8
3445,商品2577,品类28
3446,商品2578,品类36
3447,商品2579,品类12
3448,商品2580,品类165
3449,商品2581,品类12
3450,商品2582,品类5
3451,商品2583,品类12
3452,商品2584,品类246
3453,商品2585,品类15
3454,商品2586,品类3
3455,商品2587,品类32
3456,商品2588,品类12
3459,商品2589,品类54
3461,商品2590,品类382
3462,商品2591,品类4
3466,商品2592,品类71
3467,商品2593,品类123
3468,商品2594,品类12
3469,商品2595,品类12
3470,商品2596,品类31
3471,商品2597,品类100
3473,商品2598,品类5
3474,商品2599,品类184
3475,商品2600,品类15
3476,商品2601,品类178
3477,商品2602,品类36
3478,商品2603,品类12
3479,商品2604,品类340
3480,商品2605,品类15
3481,商品2606,品类4
3483,商品2607,品类94
3484,商品2608,品类51
3489,商品2609,品类226
3492,商品2610,品类303
3494,商品2611,品类150
3496,商品2612,品类12
3497,商品2613,品类5
3498,商品2614,品类12
3499,商品2615,品类42
3500,商品2616,品类36
3501,商品2617,品类3
3502,商品2618,品类12
3503,商品2619,品类242
3504,商品2620,品类36
3505,商品2621,品类104
3506,商品2622,品类36
3507,商品2623,品类5
3508,商品2624,品类419
3510,商品2625,品类32
3511,商品2626,品类5
3512,商品2627,品类15
3513,商品2628,品类32
3514,商品2629,品类12
3515,商品2630,品类3
3516,商品2631,品类254
3519,商品2632,品类46
3521,商品2633,品类36
3524,商品2634,品类3
3525,商品2635,品类5
3526,商品2636,品类36
3527,商品2637,品类34
3528,商品2638,品类15
3529,商品2639,品类137
3531,商品2640,品类4
3534,商品2641,品类12
3535,商品2642,品类420
3536,商品2643,品类4
3537,商品2644,品类36
3538,商品2645,品类5
3539,商品2646,品类37
3543,商品2647,品类36
3544,商品2648,品类5
3545,商品2649,品类82
3546,商品2650,品类42
3548,商品2651,品类36
3549,商品2652,品类188
3550,商品2653,品类67
3551,商品2654,品类47
3552,商品2655,品类5
3553,商品2656,品类32
3554,商品2657,品类15
3555,商品2658,品类286
3556,商品2659,品类15
3557,商品2660,品类28
3559,商品2661,品类4
3563,商品2662,品类267
3564,商品2663,品类23
3565,商品2664,品类36
3566,商品2665,品类36
3567,商品2666,品类4
3568,商品2667,品类3
3569,商品2668,品类36
3571,商品2669,品类36
3572,商品2670,品类72
3573,商品2671,品类72
3574,商品2672,品类72
3576,商品2673,品类158
3577,商品2674,品类15
3578,商品2675,品类40
3580,商品2676,品类12
3581,商品2677,品类5
3584,商品2678,品类389
3586,商品2679,品类15
3587,商品2680,品类67
3590,商品2681,品类36
3591,商品2682,品类36
3592,商品2683,品类176
3593,商品2684,品类149
3594,商品2685,品类82
3596,商品2686,品类5
3597,商品2687,品类5
3598,商品2688,品类182
3599,商品2689,品类190
3604,商品2690,品类195
3606,商品2691,品类188
3608,商品2692,品类79
3609,商品2693,品类37
3614,商品2694,品类3
3615,商品2695,品类11
3616,商品2696,品类3
3617,商品2697,品类5
3618,商品2698,品类33
3619,商品2699,品类5
3622,商品2700,品类5
3623,商品2701,品类9
3624,商品2702,品类421
3625,商品2703,品类37
3626,商品2704,品类5
3627,商品2705,品类93
3628,商品2706,品类53
3629,商品2707,品类303
3632,商品2708,品类33
3633,商品2709,品类175
3634,商品2710,品类51
3635,商品2711,品类9
3637,商品2712,品类12
3638,商品2713,品类126
3639,商品2714,品类9
3640,商品2715,品类36
3641,商品2716,品类12
3643,商品2717,品类46
3646,商品2718,品类5
3648,商品2719,品类72
3649,商品2720,品类12
3652,商品2721,品类67
3653,商品2722,品类37
3654,商品2723,品类252
3655,商品2724,品类12
3658,商品2725,品类72
3660,商品2726,品类120
3661,商品2727,品类120
3662,商品2728,品类120
3663,商品2729,品类120
3664,商品2730,品类120
3667,商品2731,品类155
3668,商品2732,品类15
3669,商品2733,品类5
3671,商品2734,品类128
3672,商品2735,品类7
3673,商品2736,品类7
3674,商品2737,品类391
3675,商品2738,品类188
3676,商品2739,品类54
3677,商品2740,品类37
3678,商品2741,品类12
3679,商品2742,品类230
3680,商品2743,品类37
3681,商品2744,品类422
3682,商品2745,品类38
3683,商品2746,品类229
3684,商品2747,品类15
3685,商品2748,品类4
3686,商品2749,品类120
3687,商品2750,品类423
3688,商品2751,品类5
3689,商品2752,品类5
3690,商品2753,品类5
3691,商品2754,品类5
3692,商品2755,品类10
3693,商品2756,品类10
3694,商品2757,品类10
3695,商品2758,品类10
3696,商品2759,品类424
3697,商品2760,品类34
3698,商品2761,品类149
3699,商品2762,品类425
3700,商品2763,品类19
3701,商品2764,品类235
3702,商品2765,品类76
3703,商品2766,品类126
3704,商品2767,品类76
3705,商品2768,品类80
3706,商品2769,品类426
3707,商品2770,品类15
3708,商品2771,品类93
3709,商品2772,品类67
3710,商品2773,品类119
3711,商品2774,品类12
3712,商品2775,品类5
3713,商品2776,品类12
3714,商品2777,品类12
3715,商品2778,品类33
3716,商品2779,品类276
3717,商品2780,品类89
3719,商品2781,品类3
3720,商品2782,品类12
3723,商品2783,品类12
3724,商品2784,品类24
3725,商品2785,品类358
3726,商品2786,品类41
3727,商品2787,品类353
3728,商品2788,品类244
3729,商品2789,品类38
3730,商品2790,品类49
3731,商品2791,品类32
3732,商品2792,品类67
3733,商品2793,品类12
3735,商品2794,品类14
3736,商品2795,品类12
3737,商品2796,品类123
3738,商品2797,品类12
3739,商品2798,品类3
3740,商品2799,品类127
3741,商品2800,品类47
3742,商品2801,品类24
3743,商品2802,品类3
3744,商品2803,品类6
3745,商品2804,品类427
3746,商品2805,品类12
3747,商品2806,品类12
3751,商品2807,品类177
3752,商品2808,品类79
3753,商品2809,品类46
3754,商品2810,品类1
3755,商品2811,品类32
3756,商品2812,品类12
3758,商品2813,品类247
3760,商品2814,品类5
3761,商品2815,品类38
3763,商品2816,品类6
3764,商品2817,品类6
3765,商品2818,品类39
3766,商品2819,品类367
3767,商品2820,品类367
3768,商品2821,品类367
3769,商品2822,品类8
3770,商品2823,品类120
3771,商品2824,品类26
3773,商品2825,品类5
3774,商品2826,品类4
3783,商品2827,品类14
3784,商品2828,品类71
3785,商品2829,品类10
3786,商品2830,品类5
3787,商品2831,品类5
3788,商品2832,品类49
3789,商品2833,品类12
3790,商品2834,品类12
3791,商品2835,品类12
3792,商品2836,品类203
3793,商品2837,品类76
3794,商品2838,品类36
3795,商品2839,品类12
3797,商品2840,品类51
3798,商品2841,品类386
3799,商品2842,品类94
3801,商品2843,品类49
3802,商品2844,品类149
3806,商品2845,品类77
3807,商品2846,品类337
3808,商品2847,品类24
3809,商品2848,品类5
3810,商品2849,品类32
3811,商品2850,品类24
3812,商品2851,品类5
3813,商品2852,品类12
3814,商品2853,品类5
3816,商品2854,品类12
3819,商品2855,品类5
3821,商品2856,品类5
3822,商品2857,品类15
3823,商品2858,品类12
3824,商品2859,品类15
3825,商品2860,品类4
3826,商品2861,品类120
3827,商品2862,品类282
3830,商品2863,品类69
3831,商品2864,品类5
3832,商品2865,品类67
3833,商品2866,品类72
3834,商品2867,品类238
3835,商品2868,品类51
3836,商品2869,品类125
3837,商品2870,品类428
3838,商品2871,品类67
3839,商品2872,品类67
3840,商品2873,品类67
3841,商品2874,品类107
3843,商品2875,品类67
3844,商品2876,品类12
3845,商品2877,品类12
3846,商品2878,品类5
3847,商品2879,品类67
3849,商品2880,品类262
3851,商品2881,品类5
3852,商品2882,品类5
3855,商品2883,品类15
3857,商品2884,品类51
3858,商品2885,品类5
3859,商品2886,品类37
3861,商品2887,品类5
3862,商品2888,品类5
3863,商品2889,品类42
3864,商品2890,品类76
3865,商品2891,品类299
3868,商品2892,品类429
3869,商品2893,品类5
3870,商品2894,品类12
3871,商品2895,品类123
3872,商品2896,品类12
3873,商品2897,品类128
3877,商品2898,品类26
3879,商品2899,品类41
3882,商品2900,品类5
3884,商品2901,品类5
3888,商品2902,品类15
3889,商品2903,品类26
3893,商品2904,品类306
3894,商品2905,品类12
3895,商品2906,品类137
3896,商品2907,品类137
3897,商品2908,品类12
3898,商品2909,品类107
3899,商品2910,品类47
3900,商品2911,品类36
3901,商品2912,品类36
3906,商品2913,品类137
3908,商品2914,品类67
3909,商品2915,品类3
3910,商品2916,品类82
3911,商品2917,品类5
3912,商品2918,品类36
3914,商品2919,品类12
3915,商品2920,品类12
3916,商品2921,品类12
3917,商品2922,品类67
3918,商品2923,品类67
3919,商品2924,品类67
3920,商品2925,品类350
3922,商品2926,品类5
3925,商品2927,品类36
3926,商品2928,品类264
3927,商品2929,品类264
3928,商品2930,品类10
3929,商品2931,品类5
3930,商品2932,品类430
3932,商品2933,品类72
3933,商品2934,品类72
3937,商品2935,品类184
3938,商品2936,品类67
3939,商品2937,品类67
3940,商品2938,品类67
3941,商品2939,品类67
3942,商品2940,品类67
3943,商品2941,品类5
3945,商品2942,品类11
3946,商品2943,品类96
3947,商品2944,品类38
3948,商品2945,品类5
3949,商品2946,品类12
3950,商品2947,品类12
3951,商品2948,品类12
3952,商品2949,品类32
3953,商品2950,品类3
3955,商品2951,品类5
3957,商品2952,品类133
3958,商品2953,品类12
3959,商品2954,品类76
3962,商品2955,品类10
3963,商品2956,品类195
3964,商品2957,品类94
3965,商品2958,品类371
3966,商品2959,品类208
3967,商品2960,品类12
3968,商品2961,品类5
3969,商品2962,品类12
3971,商品2963,品类129
3972,商品2964,品类107
3973,商品2965,品类420
3974,商品2966,品类7
3977,商品2967,品类107
3978,商品2968,品类15
3979,商品2969,品类5
3980,商品2970,品类12
3981,商品2971,品类34
3983,商品2972,品类15
3984,商品2973,品类9
3985,商品2974,品类24
3986,商品2975,品类34
3987,商品2976,品类15
3988,商品2977,品类83
3989,商品2978,品类37
3990,商品2979,品类177
3991,商品2980,品类23
3992,商品2981,品类116
3993,商品2982,品类15
3994,商品2983,品类19
3996,商品2984,品类63
3997,商品2985,品类127
3998,商品2986,品类12
3999,商品2987,品类170
4000,商品2988,品类31
4002,商品2989,品类5
4003,商品2990,品类5
4005,商品2991,品类9
4006,商品2992,品类431
4007,商品2993,品类12
4008,商品2994,品类24
4009,商品2995,品类12
4010,商品2996,品类5
4011,商品2997,品类17
4012,商品2998,品类36
4014,商品2999,品类15
4015,商品3000,品类84
4016,商品3001,品类1
4017,商品3002,品类12
4018,商品3003,品类3
4019,商品3004,品类12
4020,商品3005,品类51
4021,商品3006,品类12
4022,商品3007,品类12
4023,商品3008,品类4
4024,商品3009,品类161
4025,商品3010,品类33
4027,商品3011,品类432
4029,商品3012,品类36
4030,商品3013,品类67
4031,商品3014,品类203
4032,商品3015,品类5
4033,商品3016,品类59
4034,商品3017,品类47
4035,商品3018,品类413
4036,商品3019,品类54
4037,商品3020,品类61
4039,商品3021,品类328
4040,商品3022,品类5
4041,商品3023,品类15
4042,商品3024,品类433
4043,商品3025,品类14
4046,商品3026,品类12
4047,商品3027,品类24
4051,商品3028,品类72
4052,商品3029,品类47
4053,商品3030,品类107
4054,商品3031,品类15
4055,商品3032,品类12
4056,商品3033,品类159
4061,商品3034,品类15
4062,商品3035,品类4
4063,商品3036,品类4
4064,商品3037,品类6
4065,商品3038,品类25
4066,商品3039,品类107
4067,商品3040,品类15
4068,商品3041,品类5
4069,商品3042,品类3
4074,商品3043,品类12
4077,商品3044,品类32
4078,商品3045,品类12
4079,商品3046,品类84
4080,商品3047,品类5
4081,商品3048,品类5
4082,商品3049,品类4
4083,商品3050,品类51
4084,商品3051,品类119
4085,商品3052,品类276
4086,商品3053,品类434
4089,商品3054,品类5
4090,商品3055,品类94
4091,商品3056,品类3
4092,商品3057,品类435
4093,商品3058,品类51
4102,商品3059,品类299
4103,商品3060,品类252
4104,商品3061,品类5
4105,商品3062,品类352
4109,商品3063,品类32
4110,商品3064,品类51
4111,商品3065,品类24
4113,商品3066,品类12
4115,商品3067,品类5
4116,商品3068,品类5
4117,商品3069,品类12
4121,商品3070,品类282
4123,商品3071,品类5
4124,商品3072,品类93
4125,商品3073,品类84
4126,商品3074,品类12
4127,商品3075,品类5
4128,商品3076,品类69
4129,商品3077,品类436
4130,商品3078,品类71
4131,商品3079,品类378
4132,商品3080,品类3
4133,商品3081,品类437
4135,商品3082,品类438
4138,商品3083,品类10
4139,商品3084,品类14
4141,商品3085,品类3
4142,商品3086,品类180
4143,商品3087,品类178
4144,商品3088,品类15
4146,商品3089,品类50
4147,商品3090,品类4
4148,商品3091,品类93
4149,商品3092,品类3
4152,商品3093,品类12
4153,商品3094,品类254
4154,商品3095,品类94
4155,商品3096,品类15
4156,商品3097,品类5
4157,商品3098,品类272
4158,商品3099,品类439
4159,商品3100,品类41
4160,商品3101,品类15
4161,商品3102,品类107
4164,商品3103,品类12
4166,商品3104,品类133
4167,商品3105,品类51
4168,商品3106,品类3
4171,商品3107,品类37
4174,商品3108,品类12
4175,商品3109,品类36
4178,商品3110,品类12
4180,商品3111,品类133
4181,商品3112,品类5
4184,商品3113,品类4
4187,商品3114,品类12
4189,商品3115,品类12
4190,商品3116,品类12
4191,商品3117,品类4
4193,商品3118,品类195
4194,商品3119,品类116
4195,商品3120,品类178
4197,商品3121,品类5
4198,商品3122,品类349
4200,商品3123,品类8
4202,商品3124,品类12
4203,商品3125,品类25
4204,商品3126,品类5
4205,商品3127,品类4
4207,商品3128,品类440
4210,商品3129,品类441
4211,商品3130,品类12
4212,商品3131,品类442
4214,商品3132,品类5
4215,商品3133,品类5
4217,商品3134,品类37
4218,商品3135,品类14
4219,商品3136,品类5
4220,商品3137,品类5
4221,商品3138,品类5
4223,商品3139,品类24
4224,商品3140,品类41
4225,商品3141,品类5
4226,商品3142,品类28
4228,商品3143,品类280
4229,商品3144,品类3
4231,商品3145,品类3
4232,商品3146,品类317
4233,商品3147,品类5
4234,商品3148,品类32
4235,商品3149,品类32
4236,商品3150,品类37
4237,商品3151,品类37
4238,商品3152,品类334
4239,商品3153,品类14
4240,商品3154,品类71
4241,商品3155,品类94
4242,商品3156,品类91
4243,商品3157,品类57
4246,商品3158,品类4
4247,商品3159,品类443
4248,商品3160,品类5
4251,商品3161,品类32
4252,商品3162,品类12
4254,商品3163,品类36
4255,商品3164,品类5
4256,商品3165,品类12
4259,商品3166,品类15
4260,商品3167,品类12
4262,商品3168,品类25
4263,商品3169,品类12
4265,商品3170,品类41
4267,商品3171,品类5
4268,商品3172,品类5
4270,商品3173,品类273
4273,商品3174,品类12
4275,商品3175,品类437
4276,商品3176,品类5
4278,商品3177,品类37
4280,商品3178,品类4
4282,商品3179,品类75
4284,商品3180,品类5
4285,商品3181,品类3
4289,商品3182,品类36
4290,商品3183,品类308
4291,商品3184,品类33
4292,商品3185,品类12
4293,商品3186,品类5
4294,商品3187,品类313
4296,商品3188,品类15
4297,商品3189,品类12
4298,商品3190,品类245
4299,商品3191,品类80
4300,商品3192,品类12
4304,商品3193,品类37
4305,商品3194,品类288
4306,商品3195,品类444
4307,商品3196,品类3
4308,商品3197,品类74
4310,商品3198,品类53
4312,商品3199,品类31
4313,商品3200,品类12
4316,商品3201,品类12
4317,商品3202,品类3
4321,商品3203,品类128
4322,商品3204,品类12
4323,商品3205,品类445
4325,商品3206,品类12
4326,商品3207,品类47
4327,商品3208,品类154
4329,商品3209,品类77
4333,商品3210,品类33
4334,商品3211,品类12
4337,商品3212,品类116
4338,商品3213,品类24
4339,商品3214,品类252
4340,商品3215,品类5
4342,商品3216,品类15
4343,商品3217,品类84
4344,商品3218,品类25
4345,商品3219,品类12
4347,商品3220,品类36
4349,商品3221,品类56
4350,商品3222,品类299
4351,商品3223,品类6
4353,商品3224,品类367
4354,商品3225,品类137
4355,商品3226,品类133
4356,商品3227,品类188
4357,商品3228,品类4
4359,商品3229,品类5
4361,商品3230,品类3
4366,商品3231,品类314
4367,商品3232,品类170
4368,商品3233,品类5
4369,商品3234,品类6
4370,商品3235,品类100
4371,商品3236,品类14
4372,商品3237,品类15
4373,商品3238,品类5
4374,商品3239,品类3
4378,商品3240,品类14
4380,商品3241,品类15
4381,商品3242,品类5
4383,商品3243,品类159
4384,商品3244,品类12
4386,商品3245,品类23
4387,商品3246,品类8
4388,商品3247,品类5
4389,商品3248,品类12
4390,商品3249,品类47
4392,商品3250,品类272
4393,商品3251,品类12
4394,商品3252,品类190
4395,商品3253,品类33
4396,商品3254,品类107
4397,商品3255,品类107
4399,商品3256,品类36
4402,商品3257,品类5
4403,商品3258,品类67
4404,商品3259,品类261
4406,商品3260,品类396
4407,商品3261,品类59
4408,商品3262,品类12
4409,商品3263,品类446
4410,商品3264,品类62
4412,商品3265,品类249
4419,商品3266,品类15
4420,商品3267,品类12
4422,商品3268,品类12
4424,商品3269,品类12
4426,商品3270,品类323
4427,商品3271,品类12
4428,商品3272,品类447
4429,商品3273,品类12
4432,商品3274,品类371
4433,商品3275,品类12
4434,商品3276,品类448
4436,商品3277,品类28
4437,商品3278,品类67
4438,商品3279,品类389
4439,商品3280,品类12
4440,商品3281,品类41
4441,商品3282,品类8
4442,商品3283,品类122
4443,商品3284,品类34
4444,商品3285,品类89
4445,商品3286,品类449
4446,商品3287,品类423
4447,商品3288,品类3
4448,商品3289,品类133
4449,商品3290,品类12
4450,商品3291,品类47
4451,商品3292,品类4
4452,商品3293,品类5
4453,商品3294,品类297
4454,商品3295,品类450
4458,商品3296,品类297
4459,商品3297,品类297
4462,商品3298,品类71
4463,商品3299,品类24
4464,商品3300,品类4
4465,商品3301,品类12
4466,商品3302,品类25
4467,商品3303,品类226
4470,商品3304,品类12
4471,商品3305,品类3
4473,商品3306,品类24
4474,商品3307,品类308
4475,商品3308,品类24
4476,商品3309,品类5
4477,商品3310,品类263
4478,商品3311,品类36
4480,商品3312,品类72
4482,商品3313,品类12
4483,商品3314,品类5
4484,商品3315,品类12
4487,商品3316,品类15
4488,商品3317,品类25
4489,商品3318,品类3
4490,商品3319,品类5
4492,商品3320,品类84
4495,商品3321,品类3
4496,商品3322,品类236
4497,商品3323,品类451
4498,商品3324,品类6
4499,商品3325,品类5
4500,商品3326,品类36
4502,商品3327,品类23
4504,商品3328,品类5
4505,商品3329,品类15
4506,商品3330,品类30
4508,商品3331,品类12
4509,商品3332,品类5
4511,商品3333,品类5
4516,商品3334,品类5
4517,商品3335,品类262
4518,商品3336,品类10
4519,商品3337,品类314
4520,商品3338,品类5
4521,商品3339,品类12
4522,商品3340,品类199
4523,商品3341,品类97
4524,商品3342,品类5
4526,商品3343,品类378
4527,商品3344,品类3
4529,商品3345,品类36
4531,商品3346,品类8
4533,商品3347,品类249
4534,商品3348,品类150
4535,商品3349,品类203
4537,商品3350,品类12
4541,商品3351,品类67
4544,商品3352,品类84
4545,商品3353,品类84
4546,商品3354,品类32
4552,商品3355,品类220
4553,商品3356,品类34
4557,商品3357,品类12
4558,商品3358,品类5
4562,商品3359,品类129
4563,商品3360,品类5
4564,商品3361,品类86
4565,商品3362,品类170
4568,商品3363,品类8
4571,商品3364,品类167
4572,商品3365,品类25
4573,商品3366,品类36
4574,商品3367,品类41
4577,商品3368,品类24
4578,商品3369,品类3
4580,商品3370,品类149
4581,商品3371,品类12
4583,商品3372,品类107
4584,商品3373,品类4
4585,商品3374,品类5
4587,商品3375,品类452
4589,商品3376,品类453
4591,商品3377,品类226
4593,商品3378,品类5
4594,商品3379,品类367
4595,商品3380,品类12
4597,商品3381,品类135
4599,商品3382,品类12
4600,商品3383,品类36
4602,商品3384,品类280
4603,商品3385,品类3
4605,商品3386,品类71
4608,商品3387,品类14
4610,商品3388,品类360
4611,商品3389,品类14
4612,商品3390,品类12
4613,商品3391,品类155
4614,商品3392,品类8
4615,商品3393,品类12
4616,商品3394,品类12
4617,商品3395,品类5
4619,商品3396,品类5
4621,商品3397,品类3
4622,商品3398,品类5
4623,商品3399,品类5
4624,商品3400,品类379
4625,商品3401,品类247
4626,商品3402,品类408
4628,商品3403,品类36
4629,商品3404,品类6
4630,商品3405,品类8
4632,商品3406,品类41
4634,商品3407,品类79
4635,商品3408,品类122
4636,商品3409,品类8
4638,商品3410,品类126
4639,商品3411,品类3
4640,商品3412,品类6
4641,商品3413,品类36
4642,商品3414,品类308
4643,商品3415,品类291
4644,商品3416,品类4
4645,商品3417,品类151
4646,商品3418,品类36
4649,商品3419,品类5
4653,商品3420,品类79
4654,商品3421,品类133
4658,商品3422,品类110
4660,商品3423,品类5
4661,商品3424,品类47
4662,商品3425,品类33
4663,商品3426,品类5
4666,商品3427,品类5
4670,商品3428,品类93
4671,商品3429,品类12
4672,商品3430,品类3
4673,商品3431,品类119
4675,商品3432,品类107
4676,商品3433,品类5
4677,商品3434,品类33
4678,商品3435,品类5
4679,商品3436,品类5
4681,商品3437,品类36
4683,商品3438,品类391
4686,商品3439,品类79
4687,商品3440,品类5
4688,商品3441,品类31
4689,商品3442,品类28
4690,商品3443,品类454
4695,商品3444,品类14
4697,商品3445,品类10
4699,商品3446,品类223
4700,商品3447,品类211
4701,商品3448,品类107
4703,商品3449,品类12
4704,商品3450,品类79
4705,商品3451,品类5
4708,商品3452,品类82
4709,商品3453,品类455
4710,商品3454,品类123
4711,商品3455,品类37
4713,商品3456,品类19
4714,商品3457,品类5
4715,商品3458,品类67
4717,商品3459,品类107
4718,商品3460,品类5
4719,商品3461,品类456
4720,商品3462,品类110
4721,商品3463,品类266
4722,商品3464,品类5
4723,商品3465,品类12
4725,商品3466,品类93
4727,商品3467,品类116
4728,商品3468,品类5
4732,商品3469,品类5
4733,商品3470,品类5
4734,商品3471,品类79
4735,商品3472,品类120
4736,商品3473,品类4
4738,商品3474,品类435
4740,商品3475,品类3
4741,商品3476,品类4
4743,商品3477,品类3
4744,商品3478,品类67
4745,商品3479,品类12
4748,商品3480,品类292
4749,商品3481,品类292
4750,商品3482,品类68
4754,商品3483,品类110
4756,商品3484,品类457
4757,商品3485,品类308
4759,商品3486,品类36
4765,商品3487,品类12
4766,商品3488,品类39
4769,商品3489,品类37
4770,商品3490,品类51
4771,商品3491,品类12
4772,商品3492,品类12
4773,商品3493,品类5
4774,商品3494,品类33
4775,商品3495,品类74
4776,商品3496,品类47
4777,商品3497,品类452
4780,商品3498,品类12
4782,商品3499,品类3
4783,商品3500,品类37
4784,商品3501,品类12
4785,商品3502,品类123
4786,商品3503,品类93
4787,商品3504,品类12
4788,商品3505,品类15
4789,商品3506,品类458
4792,商品3507,品类67
4794,商品3508,品类459
4795,商品3509,品类205
4796,商品3510,品类3
4798,商品3511,品类3
4799,商品3512,品类48
4800,商品3513,品类460
4801,商品3514,品类12
4802,商品3515,品类461
4803,商品3516,品类32
4804,商品3517,品类36
4808,商品3518,品类28
4809,商品3519,品类12
